Intrinsic parameters (fx,fy,cx,cy) [pixel/mm]: 270.851166,270.782074,160.644485,119.420685
Rotation parameters (th_z,th_x,th_z2) [rad/s]: 4.227355,-2.293805,-0.242118
Translation parameters (Tcw_x,Tcw_y,Tcw_z) [mm]: -2300.000000,1540.000000,3100.000000
*C2:1,1,0|202.57|121.00|187.04|150.06|33533905,33534617#
*C2:1,0,0|202.57|121.00|33550527,33551236#
*C2:1,0,0|202.57|121.00|33566089,33566801#
*C2:1,0,0|202.57|121.00|33582011,33582727#
*C2:1,1,0|202.57|121.00|187.04|150.06|33598038,33598744#
*C2:1,0,0|202.57|121.00|33614649,33615165#
*C2:1,0,0|202.57|121.00|33630015,33630725#
*C2:1,0,0|202.57|121.00|33646003,33646715#
*C2:1,0,0|202.57|121.00|33662003,33662723#
*C2:1,0,0|202.57|121.00|33678014,33678728#
*C2:1,0,0|202.57|121.00|33694005,33694727#
*C2:1,1,0|202.57|121.00|187.04|150.06|33710028,33710746#
*C2:1,1,0|202.57|121.00|187.04|150.06|33726797,33727513#
*C2:1,1,0|202.57|121.00|187.04|150.06|33742801,33743514#
*C2:1,1,0|202.57|121.00|187.04|150.06|33758801,33759513#
*C2:1,0,0|202.57|121.00|33774771,33775482#
*C2:1,0,0|202.57|121.00|33790132,33790847#
*C2:1,0,0|202.57|121.00|33806136,33806855#
*C2:1,0,0|202.57|121.00|33822128,33822662#
*C2:1,1,0|202.57|121.00|187.04|150.06|33838152,33838871#
*C2:1,1,0|202.57|121.00|187.04|150.06|33854795,33855513#
*C2:1,0,0|202.57|121.00|33870910,33871626#
*C2:1,0,0|202.57|121.00|33886259,33886976#
*C2:1,1,0|202.57|121.00|187.04|150.06|33902298,33903014#
*C2:1,1,0|202.57|121.00|187.04|150.06|33918927,33919459#
*C2:1,1,0|202.57|121.00|187.04|150.06|33934946,33935665#
*C2:1,1,0|202.57|121.00|187.04|150.06|33950934,33951658#
*C2:1,1,0|202.57|121.00|187.04|150.06|33966926,33967654#
*C2:1,1,0|202.57|121.00|187.04|150.06|33982917,33983646#
*C2:1,1,0|202.57|121.00|187.04|150.06|33998935,33999647#
*C2:1,1,0|202.57|121.00|187.04|150.06|34014917,34015629#
*C2:1,0,0|202.57|121.00|34031030,34031750#
*C2:1,1,0|202.57|121.00|187.04|150.06|34046409,34047126#
*C2:1,0,0|202.57|121.00|34063025,34063743#
*C2:1,1,0|202.57|121.00|187.04|150.06|34078411,34079126#
*C2:1,0,0|202.57|121.00|34095023,34095747#
*C2:1,1,0|202.57|121.00|187.04|150.06|34110462,34111194#
*C2:1,0,0|202.57|121.00|34127036,34127574#
*C2:1,0,0|202.57|121.00|34142388,34143111#
*C2:1,0,0|202.57|121.00|34158388,34159106#
*C2:1,0,0|202.57|121.00|34174386,34175107#
*C2:1,0,0|202.57|121.00|34190502,34191223#
*C2:1,1,0|202.57|121.00|187.04|150.06|34206530,34207246#
*C2:1,0,0|202.57|121.00|34223147,34223685#
*C2:1,1,0|202.57|121.00|187.04|150.06|34238534,34239250#
*C2:1,1,0|202.57|121.00|187.04|150.06|34255174,34255893#
*C2:1,1,0|202.57|121.00|187.04|150.06|34271176,34271898#
*C2:1,0,0|202.57|121.00|34287190,34287910#
*C2:1,1,0|202.57|121.00|187.04|150.06|34302532,34303254#
*C2:1,1,0|202.57|121.00|187.04|150.06|34319179,34319892#
*C2:1,1,0|202.57|121.00|187.04|150.06|34335167,34335878#
*C2:1,1,0|202.57|121.00|187.04|150.06|34351311,34352031#
*C2:1,1,0|202.57|121.00|187.04|150.06|34367290,34368006#
*C2:1,1,0|202.57|121.00|187.04|150.06|34383294,34384016#
*C2:1,1,0|202.57|121.00|187.04|150.06|34399290,34400015#
*C2:1,0,0|202.57|121.00|34415272,34415983#
*C2:1,1,0|202.57|121.00|187.04|150.06|34430659,34431183#
*C2:1,1,0|202.57|121.00|187.04|150.06|34447289,34448004#
*C2:1,0,0|202.57|121.00|34463270,34463986#
*C2:1,1,0|202.57|121.00|187.04|150.06|34478657,34479371#
*C2:1,0,0|202.57|121.00|34495406,34496123#
*C2:1,1,0|202.57|121.00|187.04|150.06|34510802,34511524#
*C2:1,1,0|202.57|121.00|187.04|150.06|34527458,34527979#
